Number,Party,Total_Contestants,Won,Second,Third,Party_Votes,Valid_Votes_Percent,Valid_Votes_Contested,AC_Leads,AC_Second,AC_Third
318,Samaj Parivartan Party,1,0,0,0,"5,303",0%,0.50%,0,0,0
319,Samyak Party,3,0,0,0,"5,250",0%,0.20%,0,0,0
320,Krupaa Party,2,0,0,0,"5,246",0%,0.20%,0,0,0
321,Delhi Janta Party,2,0,0,0,"5,235",0%,0.20%,0,0,0
322,Dharmarajya Paksha,2,0,0,0,"5,233",0%,0.20%,0,0,0
323,Bhartiya Navjawan Sena (Paksha),3,0,0,0,"5,183",0%,0.10%,0,0,0
324,Kisan Kranti Dal,2,0,0,0,"5,153",0%,0.20%,0,0,0
325,Sardar Vallabhbhai Patel Party,4,0,0,0,"5,152",0%,0.10%,0,0,0
326,Sapaks Party,2,0,0,0,"5,149",0%,0.20%,0,0,0
327,Sabhi Jan Party,2,0,0,0,"5,147",0%,0.30%,0,0,0
328,Apni Ekta Party,1,0,0,0,"5,139",0%,0.50%,0,0,0
329,Rashtriya Garib Dal,4,0,0,0,"5,105",0%,0.10%,0,0,0
330,Loktantra Congress Party,2,0,0,0,"5,100",0%,0.20%,0,0,0
331,National World Leader Party,1,0,0,0,"5,063",0%,0.40%,0,0,0
332,Public Political Party,6,0,0,0,"5,054",0%,0.10%,0,0,0
333,Janhit Kisan Party,1,0,0,0,"5,030",0%,0.50%,0,0,0
334,Political Justice Party,1,0,0,0,"5,023",0%,0.50%,0,0,0
335,Sarvjan Samta Party,1,0,0,0,"5,020",0%,0.50%,0,0,0
336,Hindustan Samaj Party,1,0,0,0,"4,991",0%,0.50%,0,0,0
337,Bharat Rakshak Party (Democratic),1,0,0,0,"4,961",0%,0.30%,0,0,0
338,Jay Vidarbha Party,4,0,0,0,"4,951",0%,0.10%,0,0,0
339,Punjab National Party,3,0,0,0,"4,934",0%,0.20%,0,0,0
340,Amra Bangalee,1,0,0,0,"4,925",0%,0.40%,0,0,0
341,Bhartiya Gandhiwadi Party,1,0,0,0,"4,822",0%,0.40%,0,0,0
342,Rashtriya Republican Party,5,0,0,0,"4,801",0%,0.10%,0,0,0
343,Sikkim Republican Party,1,0,0,0,"4,799",0%,1.30%,0,0,0
344,Puthiya Makkal Tamil Desam Katchi,3,0,0,0,"4,768",0%,0.20%,0,0,0
345,Rashtriya Mahaswaraj Bhumi Party,3,0,0,0,"4,764",0%,0.20%,0,0,0
346,Vidhyarthula Rajakiya Party,5,0,0,0,"4,747",0%,0.10%,0,0,0
347,Bhartiya Rashtriya Ekta Dal,2,0,0,0,"4,732",0%,0.20%,0,0,0
348,Anna Mgr Dravida Makkal Kalgam,5,0,0,0,"4,629",0%,0.10%,0,0,0
349,Shoshit Samaj Dal,1,0,0,0,"4,618",0%,0.50%,0,0,0
350,Janseva Gondwana Party,3,0,0,0,"4,617",0%,0.10%,0,0,0
351,Bharat Mahaparivar Party,2,0,0,0,"4,582",0%,0.20%,0,0,0
352,Janshakti Samta Party,1,0,0,0,"4,577",0%,0.50%,0,0,0
353,Tipu Sultan Party,4,0,0,0,"4,547",0%,0.10%,0,0,0
354,Bhartiya Samajik Party,1,0,0,0,"4,507",0%,0.30%,0,0,0
355,Karunaadu Party,4,0,0,0,"4,481",0%,0.10%,0,0,0
356,Telangana Rashtra Punahnirmana Samithi,1,0,0,0,"4,433",0%,0.30%,0,0,0
357,Azad Janata Party,2,0,0,0,"4,429",0%,0.20%,0,0,0
358,Rishivadi Karm Sheel Young Parmarthi Party,1,0,0,0,"4,401",0%,0.40%,0,0,0
359,Jebamani Janata,2,0,0,0,"4,356",0%,0.20%,0,0,0
360,Bhartiya Panchsheel Party,1,0,0,0,"4,345",0%,0.40%,0,0,0
361,Bharatiya Asha Party,5,0,0,0,"4,300",0%,0.10%,0,0,0
362,Apna Desh Party,1,0,0,0,"4,297",0%,0.40%,0,0,0
363,Kalinga Sena,2,0,0,0,"4,284",0%,0.20%,0,0,0
364,Akhil Bhartiya Hamara Samaj Party,1,0,0,0,"4,225",0%,0.40%,0,0,0
365,Gujarat Sarva Samaj Party,2,0,0,0,"4,211",0%,0.20%,0,0,0
366,National Maha Sabha Party,4,0,0,0,"4,184",0%,0.10%,0,0,0
367,Karunada Sevakara Party,3,0,0,0,"4,175",0%,0.10%,0,0,0
368,Loktantrik Lok Rajyam Party,4,0,0,0,"4,169",0%,0.10%,0,0,0
369,Apni Prajahit Party,4,0,0,0,"4,109",0%,0.10%,0,0,0
370,Apna Haq Party,1,0,0,0,"4,094",0%,0.30%,0,0,0
371,Swaraj Bhartiya Nyay Party,3,0,0,0,"4,088",0%,0.10%,0,0,0
372,Indian Peoples Adhikar Party,2,0,0,0,"4,041",0%,0.20%,0,0,0
373,Tamilaga Makkal Thannurimai Katchi,2,0,0,0,"4,033",0%,0.20%,0,0,0
374,Bhartiya Jan Parishad,3,0,0,0,"4,020",0%,0.10%,0,0,0
375,Bharathiya Yuvakula Dalam,2,0,0,0,"4,007",0%,0.10%,0,0,0
376,Bahujan Awam Party,2,0,0,0,"3,989",0%,0.20%,0,0,0
377,Garib Kalyan Party,3,0,0,0,"3,979",0%,0.10%,0,0,0
378,Lok Jan Sangharsh Party,2,0,0,0,"3,954",0%,0.20%,0,0,0
379,Akhand Bharat Samrajya Party,1,0,0,0,"3,930",0%,0.30%,0,0,0
380,Rashtriya Samta Vikas Party,2,0,0,0,"3,926",0%,0.20%,0,0,0
381,Rashtrawadi Chetna Party,1,0,0,0,"3,915",0%,0.30%,0,0,0
382,Rashtriya Manav Party,2,0,0,0,"3,905",0%,0.20%,0,0,0
383,Akhil Bhartiya Sarvjan Hit Party,1,0,0,0,"3,892",0%,0.40%,0,0,0
384,Akhila Vijaya Party,1,0,0,0,"3,882",0%,0.40%,0,0,0
385,Gondwana Dandkaranya Party,2,0,0,0,"3,857",0%,0.20%,0,0,0
386,Swatantra Kisan Party,1,0,0,0,"3,849",0%,0.30%,0,0,0
387,Uttarakhand Samanta Party,2,0,0,0,"3,845",0%,0.20%,0,0,0
388,Mizoram People's Conference,1,0,0,0,"3,793",0%,0.80%,0,0,0
389,Insaniyat Party,3,0,0,0,"3,790",0%,0.10%,0,0,0
390,Thakkam Katchi,6,0,0,0,"3,785",0%,0.10%,0,0,0
391,Bharat Nirman Party,1,0,0,0,"3,772",0%,0.30%,0,0,0
392,Telugu Nava Garjana Party,1,0,0,0,"3,741",0%,0.30%,0,0,0
393,Country Citizen Party,4,0,0,0,"3,712",0%,0.10%,0,0,0
394,Asankhya Samaj Party,2,0,0,0,"3,672",0%,0.10%,0,0,0
395,Sanyukt Bharat Paksh,2,0,0,0,"3,656",0%,0.20%,0,0,0
396,Mana Telangana Rashtra Samaikya Party,1,0,0,0,"3,634",0%,0.30%,0,0,0
397,Jai Sewalal Bahujan Vikas Party,1,0,0,0,"3,628",0%,0.30%,0,0,0
398,All India Youth Development Party,2,0,0,0,"3,528",0%,0.20%,0,0,0
399,Lok Sewa Dal,1,0,0,0,"3,519",0%,0.30%,0,0,0
400,Marxist Communist Party Of India (United),5,0,0,0,"3,505",0%,0.10%,0,0,0
401,Naari Nar Rakshak Party,2,0,0,0,"3,501",0%,0.20%,0,0,0
402,Bharatiya Bikash Parishad,2,0,0,0,"3,430",0%,0.20%,0,0,0
403,Prabuddhwadi Bahujan Morcha,2,0,0,0,"3,417",0%,0.20%,0,0,0
404,Sunder Samaj Party,2,0,0,0,"3,409",0%,0.10%,0,0,0
405,People's Party Of India(secular),2,0,0,0,"3,392",0%,0.20%,0,0,0
406,Jan Raajya Party,2,0,0,0,"3,376",0%,0.20%,0,0,0
407,Bharatiya Rashtriya Morcha,1,0,0,0,"3,358",0%,0.30%,0,0,0
408,Vanchitsamaj Insaaf Party,1,0,0,0,"3,330",0%,0.30%,0,0,0
409,Sarvjan Lok Shakti Party,1,0,0,0,"3,280",0%,0.40%,0,0,0
410,Janta Samta Party,1,0,0,0,"3,264",0%,0.30%,0,0,0
411,Rashtriya Janshakti Party(Eklavya),1,0,0,0,"3,263",0%,0.30%,0,0,0
412,Majloom Samaj Party,2,0,0,0,"3,237",0%,0.10%,0,0,0
413,Aam Janmat Party,1,0,0,0,"3,205",0%,0.30%,0,0,0
414,Rashtra Samarpan Party,3,0,0,0,"3,205",0%,0.10%,0,0,0
415,Republican Party Of India,4,0,0,0,"3,204",0%,0.10%,0,0,0
416,Republican Bahujan Sena,2,0,0,0,"3,161",0%,0.10%,0,0,0
417,Abua Jharkhand Party,1,0,0,0,"3,155",0%,0.20%,0,0,0
418,Bhartiya Jantantra Morcha,1,0,0,0,"3,094",0%,0.20%,0,0,0
419,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2,0,0,0,"3,078",0%,0.10%,0,0,0
420,Bhumiputra United Party,2,0,0,0,"3,018",0%,0.10%,0,0,0
421,Bhartiya Azad Sena,2,0,0,0,"3,018",0%,0.10%,0,0,0
422,Lok Swarajya Party,2,0,0,0,"2,992",0%,0.10%,0,0,0
423,Rashtriya Janshakti Samaj Party,2,0,0,0,"2,988",0%,0.10%,0,0,0
424,Mahathma Makkal Munnetra Kazhakam,2,0,0,0,"2,981",0%,0.10%,0,0,0
425,Rashtriya Maratha Party,3,0,0,0,"2,978",0%,0.10%,0,0,0
426,Kranti Kari Jai Hind Sena,3,0,0,0,"2,976",0%,0.10%,0,0,0
427,Jan Shakti Dal,1,0,0,0,"2,955",0%,0.20%,0,0,0
428,Justice Party,1,0,0,0,"2,946",0%,0.30%,0,0,0
429,Sampoorna Bharat Kranti Party,1,0,0,0,"2,944",0%,0.20%,0,0,0
430,Ummeed Party Of India,1,0,0,0,"2,944",0%,0.20%,0,0,0
431,Samst Samaj Party,1,0,0,0,"2,904",0%,0.20%,0,0,0
432,Navabharath Sena,3,0,0,0,"2,898",0%,0.10%,0,0,0
433,Republican Party Of India (Social),2,0,0,0,"2,818",0%,0.10%,0,0,0
434,Bharatiya Prajagala Kalyana Paksha,4,0,0,0,"2,816",0%,0%,0,0,0
435,Azad Samaj Party,2,0,0,0,"2,791",0%,0.10%,0,0,0
436,Navyug Pragatisheel Morcha,1,0,0,0,"2,779",0%,0.20%,0,0,0
437,Akhil Bharatiya Congress Dal (Ambedkar),1,0,0,0,"2,777",0%,0.20%,0,0,0
438,Garib Democratic Party,1,0,0,0,"2,748",0%,0.30%,0,0,0
439,Bharatiya Praja Surajya Paksha,2,0,0,0,"2,737",0%,0.10%,0,0,0
440,Saath Sahakar Vikas Party,1,0,0,0,"2,673",0%,0.20%,0,0,0
441,Sathi Aur Aapka Faisala Party,1,0,0,0,"2,666",0%,0.30%,0,0,0
442,Bhartiya Jan Samrat Party,1,0,0,0,"2,640",0%,0.20%,0,0,0
443,Jharkhand Mukti Morcha (Ulgulan),1,0,0,0,"2,615",0%,0.30%,0,0,0
444,Viduthalai Kalam Katchi,1,0,0,0,"2,599",0%,0.20%,0,0,0
445,Bharatiya Majdoor Janta Party,2,0,0,0,"2,566",0%,0.10%,0,0,0
446,Swarajya Sena (Maharashtra),2,0,0,0,"2,533",0%,0.10%,0,0,0
447,Smart Indians Party,1,0,0,0,"2,510",0%,0.20%,0,0,0
448,Anna Makkal Katchi,1,0,0,0,"2,505",0%,0.20%,0,0,0
449,All India Ulama Congress,2,0,0,0,"2,500",0%,0.10%,0,0,0
450,Pragatisheel Magahi Samaj,1,0,0,0,"2,468",0%,0.20%,0,0,0
451,Gujarat Loktantra Party,1,0,0,0,"2,458",0%,0.30%,0,0,0
452,Odisha Janata Party,2,0,0,0,"2,442",0%,0.10%,0,0,0
453,Bharatiya Nagrik Party,1,0,0,0,"2,434",0%,0.20%,0,0,0
454,Aapka Gantantra Party,1,0,0,0,"2,432",0%,0.20%,0,0,0
455,Prajatantra Aadhar Party,2,0,0,0,"2,429",0%,0.10%,0,0,0
456,Bhartiya Manavta Party,2,0,0,0,"2,426",0%,0.10%,0,0,0
457,Gareeb Aadmi Party,4,0,0,0,"2,425",0%,0%,0,0,0
458,Ahimsa Socialist Party,1,0,0,0,"2,421",0%,0.20%,0,0,0
459,Bangali Nabanirman Sena,2,0,0,0,"2,410",0%,0.10%,0,0,0
460,India Greens Party,3,0,0,0,"2,387",0%,0.10%,0,0,0
461,Sarva Samaj Janata Party,2,0,0,0,"2,379",0%,0.10%,0,0,0
462,Vishva Shakti Party,2,0,0,0,"2,361",0%,0.10%,0,0,0
463,Lok Sena Party,1,0,0,0,"2,350",0%,0.20%,0,0,0
464,Rashtriya Jantantrik Bharat Vikas Party,1,0,0,0,"2,347",0%,0.20%,0,0,0
465,National Youth Party,1,0,0,0,"2,343",0%,0.20%,0,0,0
466,Dalit Soshit Pichhara Varg Adhikar Dal,2,0,0,0,"2,342",0%,0.10%,0,0,0
467,Rayalaseema Rashtra Samithi,1,0,0,0,"2,333",0%,0.20%,0,0,0
468,Samajwadi Janata Party(Karnataka),4,0,0,0,"2,320",0%,0%,0,0,0
469,Tamil Manila Murpokku Dravida Kazhagam,2,0,0,0,"2,315",0%,0.10%,0,0,0
470,Azad Party,1,0,0,0,"2,311",0%,0.20%,0,0,0
471,Bharat Ki Lok Jimmedar Party,1,0,0,0,"2,310",0%,0.20%,0,0,0
472,Rashtriya Jan Utkarsh Party,1,0,0,0,"2,309",0%,0.20%,0,0,0
473,Rashtriya Sawarn Dal,2,0,0,0,"2,293",0%,0.10%,0,0,0
474,Utkal Samaj,2,0,0,0,"2,285",0%,0.10%,0,0,0
475,Akhil Bharat Hindu Mahasabha,2,0,0,0,"2,278",0%,0.10%,0,0,0
476,New India Party,1,0,0,0,"2,269",0%,0.20%,0,0,0
477,Aanaithinthiya Jananayaka Pathukappu Kazhagam,2,0,0,0,"2,244",0%,0.10%,0,0,0
478,Sarvjan Awaz Party,1,0,0,0,"2,239",0%,0.20%,0,0,0
479,Chennai Youth Party,2,0,0,0,"2,195",0%,0.10%,0,0,0
480,Loktantrik Janshakti Party,4,0,0,0,"2,191",0%,0%,0,0,0
481,Aam Aadmi Parivartan Party,2,0,0,0,"2,128",0%,0.10%,0,0,0
482,Akhil Bhartiya Manavadhikar Vichar Manch Party,1,0,0,0,"2,108",0%,0.20%,0,0,0
483,Majdoor Kisan Union Party,1,0,0,0,"2,105",0%,0.20%,0,0,0
484,Jai Hind Congress Party,1,0,0,0,"2,101",0%,0.20%,0,0,0
485,Rashtriya Power Party,1,0,0,0,"2,101",0%,0.20%,0,0,0
486,Prabal Bharat Party,1,0,0,0,"2,099",0%,0.20%,0,0,0
487,Sunahara Bharat Party,1,0,0,0,"2,091",0%,0.20%,0,0,0
488,Most Backward Classes Of India,1,0,0,0,"2,090",0%,0.20%,0,0,0
489,Apna Samaj Party,2,0,0,0,"2,083",0%,0.10%,0,0,0
490,Manviya Bharat Party,1,0,0,0,"2,082",0%,0.20%,0,0,0
491,Vikas Insaf Party,1,0,0,0,"2,033",0%,0.20%,0,0,0
492,Sabse Achchhi Party,1,0,0,0,"2,029",0%,0.20%,0,0,0
493,Republican Party Of India (Karnataka),3,0,0,0,"2,018",0%,0.10%,0,0,0
494,Bhartiya Sarvdharm Party,1,0,0,0,"2,012",0%,0.20%,0,0,0
495,People’s Union Party,1,0,0,0,"2,009",0%,0.10%,0,0,0
496,Spashtwadi Jan Aadhar Party,1,0,0,0,"2,003",0%,0.20%,0,0,0
497,National Black Panther Party,2,0,0,0,"1,994",0%,0.10%,0,0,0
498,Yuva Bihar Sena,1,0,0,0,"1,990",0%,0.20%,0,0,0
499,Bhartiya Lokvani Party,1,0,0,0,"1,956",0%,0.20%,0,0,0
500,Sankhyanupati Bhagidari Party,1,0,0,0,"1,949",0%,0.20%,0,0,0
501,Saman Adhikar Party,2,0,0,0,"1,943",0%,0.10%,0,0,0
502,Janta Shashan Party,1,0,0,0,"1,942",0%,0.20%,0,0,0
503,Bhartiya Jan Adhikar Party,1,0,0,0,"1,940",0%,0.20%,0,0,0
504,Humanity For Peace Party,1,0,0,0,"1,935",0%,0.20%,0,0,0
505,Madhya Pradesh Jan Vikas Party,1,0,0,0,"1,932",0%,0.10%,0,0,0
506,Ulzaipali Makkal Katchy,3,0,0,0,"1,929",0%,0.10%,0,0,0
507,Mang Samaj Party,1,0,0,0,"1,905",0%,0.20%,0,0,0
508,Tamilar Makkal Katchi,2,0,0,0,"1,904",0%,0.10%,0,0,0
509,Bharatiya Sampuran Krantikari Party,3,0,0,0,"1,880",0%,0.10%,0,0,0
510,Bhartiya Asmita Party,1,0,0,0,"1,874",0%,0.20%,0,0,0
511,Kannada Chalavali Vatal Paksha,1,0,0,0,"1,867",0%,0.20%,0,0,0
512,The Agrani Party,1,0,0,0,"1,843",0%,0.20%,0,0,0
513,Bhartiya Jan Nayak Party,1,0,0,0,"1,838",0%,0.20%,0,0,0
514,Vidarbha Rajya Aghadi,1,0,0,0,"1,828",0%,0.20%,0,0,0
515,Himachal Janta Party,2,0,0,0,"1,825",0%,0.10%,0,0,0
516,Adarsh Jankalyan Dal,1,0,0,0,"1,817",0%,0.10%,0,0,0
517,Rashtriya Hind Ekta Dal,1,0,0,0,"1,806",0%,0.20%,0,0,0
518,Blue India Party,2,0,0,0,"1,803",0%,0.10%,0,0,0
519,Prajavani Party,1,0,0,0,"1,792",0%,0.10%,0,0,0
520,Makkal Nalvaazhvuk Katchi,1,0,0,0,"1,792",0%,0.20%,0,0,0
521,National Party,1,0,0,0,"1,767",0%,0.10%,0,0,0
522,People Protection Party,1,0,0,0,"1,737",0%,0.10%,0,0,0
523,Kosal Janata Dal,1,0,0,0,"1,735",0%,0.10%,0,0,0
524,Indian Labour Party (Ambedkar Phule),4,0,0,0,"1,729",0%,0%,0,0,0
525,Telangana Rajya Samithi,1,0,0,0,"1,727",0%,0.20%,0,0,0
526,Ambedkarist Republican Party,2,0,0,0,"1,727",0%,0.10%,0,0,0
527,Akhand Bharat Janpriya Party,1,0,0,0,"1,716",0%,0.20%,0,0,0
528,Aim Political Party,1,0,0,0,"1,715",0%,0.20%,0,0,0
529,Bharatiya Ekta Dal,1,0,0,0,"1,704",0%,0.20%,0,0,0
530,Kamgaar Kisan Party,1,0,0,0,"1,701",0%,0.10%,0,0,0
531,Ahinsa Samaj Party,1,0,0,0,"1,698",0%,0.10%,0,0,0
532,Jindabad Kranti Party,2,0,0,0,"1,690",0%,0.10%,0,0,0
533,Parivartan Party Of India,2,0,0,0,"1,686",0%,0.10%,0,0,0
534,Bhartiya Janta Secular Party,1,0,0,0,"1,685",0%,0.10%,0,0,0
535,Rashtra Dharak Dal,1,0,0,0,"1,683",0%,0.20%,0,0,0
536,Paschimanchal Vikas Party,1,0,0,0,"1,682",0%,0.10%,0,0,0
537,Yuva Vikas Party,1,0,0,0,"1,679",0%,0.20%,0,0,0
538,Bharat Jan Aadhar Party,1,0,0,0,"1,675",0%,0.20%,0,0,0
539,Telangana Jaghir Party,3,0,0,0,"1,648",0%,0%,0,0,0
540,Jana Sahayaka Sakthi,2,0,0,0,"1,644",0%,0.10%,0,0,0
541,Rashtriya Lokswaraj Party,2,0,0,0,"1,641",0%,0.10%,0,0,0
542,Rashtriya Janmorcha,1,0,0,0,"1,639",0%,0.10%,0,0,0
543,Samajwadi Jan Parishad,1,0,0,0,"1,637",0%,0.20%,0,0,0
544,Atulya Bharat Party,1,0,0,0,"1,617",0%,0.20%,0,0,0
545,Young Star Empowerment Party,4,0,0,0,"1,616",0%,0%,0,0,0
546,Hamara Sahara Party,1,0,0,0,"1,614",0%,0.10%,0,0,0
547,Prajarajya Samithi,1,0,0,0,"1,614",0%,0.10%,0,0,0
548,Sanjhi Virasat Party,2,0,0,0,"1,610",0%,0.10%,0,0,0
549,Abhinav Bharat Janseva Paksh,1,0,0,0,"1,602",0%,0.10%,0,0,0
550,Lokshahi Ekta Party,2,0,0,0,"1,585",0%,0.10%,0,0,0
551,Adim Bhartiya Dal,1,0,0,0,"1,584",0%,0.10%,0,0,0
552,Janta Samajwadi Party (Vivek Raj),1,0,0,0,"1,574",0%,0.20%,0,0,0
553,Hindvi Swarajyay Dal,1,0,0,0,"1,573",0%,0.10%,0,0,0
554,Indian Unity Centre,1,0,0,0,"1,572",0%,0.10%,0,0,0
555,Bharatiya Liberal Party,2,0,0,0,"1,552",0%,0.10%,0,0,0
556,Bhartiya Party,1,0,0,0,"1,549",0%,0.10%,0,0,0
557,Bharatiya Lokshakti Party,1,0,0,0,"1,537",0%,0.10%,0,0,0
558,Rashtriya Narayanwadi Vikas Party,1,0,0,0,"1,527",0%,0.20%,0,0,0
559,All Peoples Party,3,0,0,0,"1,495",0%,0%,0,0,0
560,Rashtriya Sanskriti Party,1,0,0,0,"1,494",0%,0.10%,0,0,0
561,Public Adhikar Socialist Indian Party,1,0,0,0,"1,493",0%,0.10%,0,0,0
562,Tamizhaga Murpokku Makkal Katchi,3,0,0,0,"1,488",0%,0%,0,0,0
563,Bhartiya Uday Nirman Party,1,0,0,0,"1,483",0%,0.20%,0,0,0
564,Aam Janshakti Party,1,0,0,0,"1,478",0%,0.10%,0,0,0
565,Rashtra Samanya Praja Party,2,0,0,0,"1,474",0%,0%,0,0,0
566,Janlok Vikas Party,1,0,0,0,"1,473",0%,0.10%,0,0,0
567,Bharatiya Bahujan Samta Party,1,0,0,0,"1,459",0%,0.10%,0,0,0
568,Telangana Republican Party,3,0,0,0,"1,452",0%,0%,0,0,0
569,Aarakshan Virodhi Party,1,0,0,0,"1,444",0%,0.10%,0,0,0
570,Supreme Zero Party Of Bharat,1,0,0,0,"1,441",0%,0.10%,0,0,0
571,Vishal Janta Party,1,0,0,0,"1,421",0%,0.10%,0,0,0
572,Samrat Mihir Bhoj Samaj Party,2,0,0,0,"1,412",0%,0.10%,0,0,0
573,Swayam Shashan Party,1,0,0,0,"1,408",0%,0.10%,0,0,0
574,Super Power India Party,3,0,0,0,"1,400",0%,0%,0,0,0
575,Adarsh Janta Party,1,0,0,0,"1,376",0%,0.10%,0,0,0
576,All India Mazdoor Party (Rangreta),1,0,0,0,"1,374",0%,0.10%,0,0,0
577,Yuva Taram Party,2,0,0,0,"1,369",0%,0.10%,0,0,0
578,Hindustan Janta Party Secular,1,0,0,0,"1,366",0%,0.10%,0,0,0
579,Prithviraj Janshakti Party,1,0,0,0,"1,364",0%,0.10%,0,0,0
580,Bhartiya Garib Vikas Kalyan Party,1,0,0,0,"1,347",0%,0.10%,0,0,0
581,Rashtriya Janmanch (Secular),1,0,0,0,"1,333",0%,0.10%,0,0,0
582,Gorkha Rashtriya Congress,1,0,0,0,"1,331",0%,0.10%,0,0,0
583,Sakala Janula Party,2,0,0,0,"1,324",0%,0.10%,0,0,0
584,Rashtriya Janta Party,1,0,0,0,"1,319",0%,0.10%,0,0,0
585,Janshakti Janta Dal,1,0,0,0,"1,318",0%,0.10%,0,0,0
586,Lok Samaj Party,1,0,0,0,"1,294",0%,0.10%,0,0,0
587,Rashtriya Vikalp Party,1,0,0,0,"1,269",0%,0.10%,0,0,0
588,Bahujana Left Party,2,0,0,0,"1,265",0%,0.10%,0,0,0
589,Rajasthan Raj Party,1,0,0,0,"1,264",0%,0.10%,0,0,0
590,Akhil Bharatiya Hind Kranti Party,1,0,0,0,"1,259",0%,0.10%,0,0,0
591,Praja Ektha Party,2,0,0,0,"1,252",0%,0%,0,0,0
592,Challengers Party,2,0,0,0,"1,243",0%,0%,0,0,0
593,Rashtriya Vikas Party,1,0,0,0,"1,240",0%,0.10%,0,0,0
594,Indian Believers Party (IBP),1,0,0,0,"1,239",0%,0.10%,0,0,0
595,Pehchan People’s Party,1,0,0,0,"1,228",0%,0.10%,0,0,0
596,Sarvar Party,1,0,0,0,"1,202",0%,0.10%,0,0,0
597,National Future Party,1,0,0,0,"1,197",0%,0.10%,0,0,0
598,Megh Desham Party,1,0,0,0,"1,194",0%,0.10%,0,0,0
599,National Janmandal Party,1,0,0,0,"1,193",0%,0.10%,0,0,0
600,Sajag Samaj Party,1,0,0,0,"1,191",0%,0.10%,0,0,0
601,Awami Samta Party,1,0,0,0,"1,190",0%,0.10%,0,0,0
602,Kamera Samaj Party,1,0,0,0,"1,177",0%,0.10%,0,0,0
603,Adarshwaadi Congress Party,1,0,0,0,"1,173",0%,0.10%,0,0,0
604,Rashtriya Janutthan Party,1,0,0,0,"1,157",0%,0.10%,0,0,0
605,Rashtriya Secular Majlis Party,1,0,0,0,"1,136",0%,0.10%,0,0,0
606,New Generation People’s Party,1,0,0,0,"1,133",0%,0.10%,0,0,0
607,Janahitha Paksha,2,0,0,0,"1,130",0%,0%,0,0,0
608,Sanyogwadi Party,1,0,0,0,"1,128",0%,0.10%,0,0,0
609,Jan Sewak Kranti Party,1,0,0,0,"1,120",0%,0.10%,0,0,0
610,Indian Movement Party,2,0,0,0,"1,117",0%,0%,0,0,0
611,Rastriya Atal Janta Party,1,0,0,0,"1,116",0%,0.10%,0,0,0
612,Aadim Samaj Party,1,0,0,0,"1,100",0%,0.10%,0,0,0
613,Rashtriya Janhit Sangharsh Party,1,0,0,0,"1,090",0%,0.10%,0,0,0
614,Dr. Bhimrao Ambedkar Dal,1,0,0,0,"1,078",0%,0.10%,0,0,0
615,Manav Kranti Party,1,0,0,0,"1,076",0%,0.10%,0,0,0
616,Vidiyalai Thedum Indhiyargal Party,1,0,0,0,"1,073",0%,0.10%,0,0,0
617,Proutist Sarva Samaj,1,0,0,0,"1,069",0%,0.10%,0,0,0
618,Lokrajya Janata Party,1,0,0,0,"1,061",0%,0.10%,0,0,0
619,Akhil Bharatiya Manavata Paksha,1,0,0,0,"1,057",0%,0.10%,0,0,0
620,Vikas India Party,2,0,0,0,"1,054",0%,0%,0,0,0
621,Shiromani Lok Dal Party,1,0,0,0,"1,044",0%,0.10%,0,0,0
622,Punnagai Desam Party,1,0,0,0,"1,040",0%,0.10%,0,0,0
623,Netaji Subhash Chander Bose Rashtriya Azad Party,1,0,0,0,"1,019",0%,0.10%,0,0,0
624,Rashtriya Sant Sandesh Party,1,0,0,0,994,0%,0.10%,0,0,0
625,Sehajdhari Sikh Party,1,0,0,0,987,0%,0.10%,0,0,0
626,Rashtriya Jansena Party,1,0,0,0,983,0%,0.10%,0,0,0
627,India Manus Party,1,0,0,0,982,0%,0.10%,0,0,0
628,Karnataka Praja Party (RaithaParva),1,0,0,0,978,0%,0.10%,0,0,0
629,Mission All India Independent Justice Party,1,0,0,0,960,0%,0.10%,0,0,0
630,Janta Darbar Party,1,0,0,0,956,0%,0.10%,0,0,0
631,Buland Bharat Party,1,0,0,0,955,0%,0.10%,0,0,0
632,Pichhara Samaj Party United,1,0,0,0,952,0%,0.10%,0,0,0
633,Welfare Party Of India,1,0,0,0,951,0%,0.10%,0,0,0
634,All India Uzhavargal Uzhaippalargal Katchi,1,0,0,0,950,0%,0.10%,0,0,0
635,Bharatiya Jan Morcha Party,1,0,0,0,945,0%,0.10%,0,0,0
636,Aman Samaj Party,1,0,0,0,945,0%,0.10%,0,0,0
637,Bhartiya Rashtriya Jansatta,1,0,0,0,941,0%,0.10%,0,0,0
638,Bahujan Kranti Party (Marxwad-Ambedkarwad),1,0,0,0,940,0%,0.10%,0,0,0
639,Janta Raj Vikas Party,1,0,0,0,939,0%,0.10%,0,0,0
640,Anaithu India Makkal Katchi,1,0,0,0,937,0%,0.10%,0,0,0
641,Janta Kranti Party,1,0,0,0,936,0%,0.10%,0,0,0
642,Samaj Bhalai Morcha,1,0,0,0,930,0%,0.10%,0,0,0
643,Akhil Bhartiya Kisan Majdoor Party,1,0,0,0,924,0%,0.10%,0,0,0
644,Swaraj Kranti Party,1,0,0,0,909,0%,0.10%,0,0,0
645,Democratic Socialist Party Of India,1,0,0,0,885,0%,0.10%,0,0,0
646,Bharatiya Jan Jagriti Party,2,0,0,0,879,0%,0%,0,0,0
