Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
319,Punjab Labour Party,1,0,0,0,"1,243",0%,0.10%,0,0,0
320,Swarajya Party Of India,1,0,0,0,"1,230",0%,0.20%,0,0,0
321,All India Bahujan Samman Party,1,0,0,0,"1,217",0%,0.10%,0,0,0
322,Bundelkhand Mukti Morcha,1,0,0,0,"1,211",0%,0.20%,0,0,0
323,Akhil Bharatiya Mahasand Sarvahara Krantikari Party,1,0,0,0,"1,197",0%,0.20%,0,0,0
324,Anaithindia Dravidar Samudaya Munnetra Kazhagam,2,0,0,0,"1,189",0%,0.10%,0,0,0
325,Save Goa Front,1,0,0,0,"1,117",0%,0.40%,0,0,0
326,Namadhu Makkal Katchi,1,0,0,0,"1,114",0%,0.20%,0,0,0
327,Akhil Bharatiya Shivsena Rashtrawadi,1,0,0,0,"1,108",0%,0.10%,0,0,0
328,Maidani Kranti Dal,1,0,0,0,"1,106",0%,0.10%,0,0,0
329,Jai Jawan Jai Kisan Mazdoor Congress,1,0,0,0,"1,100",0%,0.20%,0,0,0
330,All India Bharti Jug Party,1,0,0,0,"1,085",0%,0.10%,0,0,0
331,Bhartiya Congress (M),1,0,0,0,"1,069",0%,0.20%,0,0,0
332,Matra Bhakta Party,2,0,0,0,"1,006",0%,0.10%,0,0,0
333,Pachai Kudi Makkal Katchi,2,0,0,0,981,0%,0.10%,0,0,0
334,Akhil Rashtrawadi Party,1,0,0,0,969,0%,0.10%,0,0,0
335,Vishva Hindustani Sangathan,1,0,0,0,935,0%,0.10%,0,0,0
336,Mool Bharati (S) Party,1,0,0,0,910,0%,0.10%,0,0,0
337,National Secular Party,1,0,0,0,902,0%,0.10%,0,0,0
338,Bharatiya Rashtriya Morcha,1,0,0,0,867,0%,0.10%,0,0,0
339,Vishwa Vikas Sangh,1,0,0,0,837,0%,0.10%,0,0,0
340,Jai Bharat Party,1,0,0,0,836,0%,0.10%,0,0,0
341,Bharat Ki Lok Jimmedar Party,1,0,0,0,790,0%,0.10%,0,0,0
342,Akhil Bhartiya Sindhu Samajwadi Party,1,0,0,0,786,0%,0.10%,0,0,0
343,Bharat Dal,1,0,0,0,700,0%,0.10%,0,0,0
344,Federal Congress Of India,1,0,0,0,684,0%,0.10%,0,0,0
345,All India Raksha Party,1,0,0,0,678,0%,0.10%,0,0,0
346,Adarshwadi Dal,1,0,0,0,614,0%,0.10%,0,0,0
347,Janata Uday Party,1,0,0,0,595,0%,0.10%,0,0,0
348,Shakti Sena (Bharat Desh),1,0,0,0,589,0%,0.10%,0,0,0
349,Rashtriya Vikas Party,1,0,0,0,584,0%,0.10%,0,0,0
350,Akhil Bhartiya Loktantra Party,1,0,0,0,578,0%,0.10%,0,0,0
351,Peoples Party Of India(secular),1,0,0,0,578,0%,0.10%,0,0,0
352,Niswarth Sewa Party,1,0,0,0,573,0%,0.10%,0,0,0
353,Jebamani Janata,2,0,0,0,573,0%,0%,0,0,0
354,Hind Vikas Party,1,0,0,0,532,0%,0.10%,0,0,0
355,Desh Bhakt Party,2,0,0,0,531,0%,0%,0,0,0
356,Bharatiya Sarvkalyan Krantidal,1,0,0,0,496,0%,0.10%,0,0,0
357,Democratic Party Of India,1,0,0,0,494,0%,0.10%,0,0,0
358,Rajasthan Dev Sena Dal,1,0,0,0,484,0%,0.10%,0,0,0
359,Rashtriya Yuva Sangh,1,0,0,0,482,0%,0.10%,0,0,0
360,Rashtrawadi Samaj Party,1,0,0,0,450,0%,0.10%,0,0,0
361,Loktanrik Janata Party (Secular),1,0,0,0,351,0%,0%,0,0,0
362,Bharatiya Grameen Dal,1,0,0,0,346,0%,0.10%,0,0,0
363,Akhil Bhartiya Kisan Mazdoor Morcha,1,0,0,0,305,0%,0%,0,0,0
364,Jaganmay Nari Sangathan,1,0,0,0,226,0%,0%,0,0,0
