Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
318,Vishva Hindustani Sangathan,3,0,0,0,"2,880",0%,0.10%,0,0,0
319,Rashtriya Mahan Gantantra Party,3,0,0,0,"2,872",0%,0.10%,0,0,0
320,Loktantrik Samajwadi Party,2,0,0,0,"2,820",0%,0.20%,0,0,0
321,Rani Chennamma Party,2,0,0,0,"2,803",0%,0.10%,0,0,0
322,Hindustan Kranti Dal,1,0,0,0,"2,762",0%,0.20%,0,0,0
323,Andhra Pradesh Rashtra Samaikya Samithi Party,2,0,0,0,"2,752",0%,0.10%,0,0,0
324,Jawan Kisan Morcha,1,0,0,0,"2,711",0%,0.30%,0,0,0
325,Prism,1,0,0,0,"2,694",0%,0.60%,0,0,0
326,Rashtriya Janshakti Party(Eklavya),1,0,0,0,"2,654",0%,0.20%,0,0,0
327,Great India Party,1,0,0,0,"2,594",0%,0.20%,0,0,0
328,Bhartiya Pragatisheel Congress,3,0,0,0,"2,571",0%,0.10%,0,0,0
329,Inqalab Vikas Dal,2,0,0,0,"2,570",0%,0.20%,0,0,0
330,Telangana Loksatta Party,2,0,0,0,"2,568",0%,0.10%,0,0,0
331,Jan Raajya Party,1,0,0,0,"2,543",0%,0.20%,0,0,0
332,Bharat Nav Nirman Party,2,0,0,0,"2,533",0%,0.10%,0,0,0
333,Akhil Bharatiya Samajwadi Congress,1,0,0,0,"2,530",0%,0.20%,0,0,0
334,Namadhu Makkal Katchi,1,0,0,0,"2,511",0%,0.30%,0,0,0
335,Mahamukti Dal,1,0,0,0,"2,482",0%,0.30%,0,0,0
336,Mahila Swabhiman Party,1,0,0,0,"2,425",0%,0.20%,0,0,0
337,Bharatiya Sarvodaya Kranti Party,2,0,0,0,"2,409",0%,0.10%,0,0,0
338,Rashtriya Vikas Party,1,0,0,0,"2,396",0%,0.20%,0,0,0
339,Anaithindia Dravidar Samudaya Munnetra Kazhagam,1,0,0,0,"2,372",0%,0.20%,0,0,0
340,Sarvshreshth Dal,1,0,0,0,"2,329",0%,0.20%,0,0,0
341,Telangana Communist Party Of India,1,0,0,0,"2,311",0%,0.20%,0,0,0
342,Akhil Bhartiya Vikas Congress Party,1,0,0,0,"2,255",0%,0.20%,0,0,0
343,Jantantra Party,2,0,0,0,"2,249",0%,0.10%,0,0,0
344,Rashtriya Rashtrawadi Party,1,0,0,0,"2,225",0%,0.20%,0,0,0
345,National Janhit Congress (AB),2,0,0,0,"2,196",0%,0.10%,0,0,0
346,Rashtrawadi Samaj Party,2,0,0,0,"2,181",0%,0.10%,0,0,0
347,Dharmarajya Paksha,1,0,0,0,"2,175",0%,0.20%,0,0,0
348,Indian Peace Party,1,0,0,0,"2,155",0%,0.20%,0,0,0
349,Bhartiya Republican Party (Insan),1,0,0,0,"2,138",0%,0.20%,0,0,0
350,Atulya Bharat Party,2,0,0,0,"2,135",0%,0.10%,0,0,0
351,Mahanwadi Party,1,0,0,0,"2,101",0%,0.20%,0,0,0
352,Rashtriya Karmyog Party,2,0,0,0,"2,096",0%,0.10%,0,0,0
353,Uttarakhand Parivartan Party,1,0,0,0,"2,045",0%,0.30%,0,0,0
354,Akhil Rashtrawadi Party,1,0,0,0,"2,029",0%,0.20%,0,0,0
355,Rashtriya Praja Congress (Secular),2,0,0,0,"2,025",0%,0.10%,0,0,0
356,Manipur Democratic Peoples's Front,1,0,0,0,"2,005",0%,0.30%,0,0,0
357,Bharat Nirman Party,1,0,0,0,"2,000",0%,0.20%,0,0,0
358,Bhartiya Jan Yug Party,2,0,0,0,"2,000",0%,0.10%,0,0,0
359,Socialist Party (LOHIA),1,0,0,0,"1,997",0%,0.20%,0,0,0
360,Labour Party Of India (V.V. Prasad),1,0,0,0,"1,993",0%,0.20%,0,0,0
361,Indian Bahujan Sandesh Party (Kanshiram),2,0,0,0,"1,952",0%,0.10%,0,0,0
362,Dr. Ambedkar Samajvadi Democratic Party,1,0,0,0,"1,949",0%,0.20%,0,0,0
363,Adarsh Manavtawadi Party,1,0,0,0,"1,919",0%,0.20%,0,0,0
364,Bhartiya Navjawan Sena (Paksha),2,0,0,0,"1,862",0%,0.10%,0,0,0
365,Rashtriya Bahujan Hitay Party,3,0,0,0,"1,842",0%,0.10%,0,0,0
366,Narayani Sena,1,0,0,0,"1,725",0%,0.20%,0,0,0
367,Bahujan Suraksha Dal,2,0,0,0,"1,723",0%,0.10%,0,0,0
368,Brihattar Bharat Prajatantra Sewa Party,1,0,0,0,"1,679",0%,0.20%,0,0,0
369,Bhartiya Party,1,0,0,0,"1,635",0%,0.20%,0,0,0
370,Rashtriya Uttarakhand Party,1,0,0,0,"1,629",0%,0.20%,0,0,0
371,Awami Samta Party,1,0,0,0,"1,617",0%,0.10%,0,0,0
372,Bharatiya Rashtriya Mazdoor Dal,1,0,0,0,"1,607",0%,0.20%,0,0,0
373,All India Azaad Congress Party,1,0,0,0,"1,593",0%,0.20%,0,0,0
374,Rashtriya Manav Samman Party,1,0,0,0,"1,572",0%,0.20%,0,0,0
375,Rashtriya Janshanti Party,1,0,0,0,"1,571",0%,0.20%,0,0,0
376,All Jammu And Kashmir Republican Party,1,0,0,0,"1,568",0%,0.40%,0,0,0
377,Rashtriya Janta Party,1,0,0,0,"1,526",0%,0.10%,0,0,0
378,Rashtriya Bandhutwa Party,1,0,0,0,"1,521",0%,0.20%,0,0,0
379,Jebamani Janata,1,0,0,0,"1,517",0%,0.20%,0,0,0
380,Loktantrik Rashrtavadi Party,2,0,0,0,"1,491",0%,0.10%,0,0,0
381,Nehru Janhit Congress,1,0,0,0,"1,463",0%,0.20%,0,0,0
382,Akhil Bharatiya Congress Dal (Ambedkar),2,0,0,0,"1,461",0%,0.10%,0,0,0
383,Navodyam Party,1,0,0,0,"1,455",0%,0.10%,0,0,0
384,Bharatiya Naujawan Inklav Party,1,0,0,0,"1,440",0%,0.10%,0,0,0
385,Rashtriya Vikas Manch Party,1,0,0,0,"1,434",0%,0.10%,0,0,0
386,Bhartiya Samajik Kranti Dal,1,0,0,0,"1,423",0%,0.10%,0,0,0
387,Bhrashtachar Mukti Morcha,1,0,0,0,"1,413",0%,0.10%,0,0,0
388,Bharatiya Navyuvak Party,1,0,0,0,"1,408",0%,0.10%,0,0,0
389,Punjab Labour Party,1,0,0,0,"1,386",0%,0.10%,0,0,0
390,Kamarajar Deseeya Congress,1,0,0,0,"1,345",0%,0.10%,0,0,0
391,Democratic Prajakranthi Party Secularist,1,0,0,0,"1,342",0%,0.10%,0,0,0
392,Bharatiya Jawala Shakti Paksha,1,0,0,0,"1,337",0%,0.10%,0,0,0
393,Jan Raksha Party,1,0,0,0,"1,318",0%,0.10%,0,0,0
394,Democratic Secular Party,1,0,0,0,"1,262",0%,0.10%,0,0,0
395,Rashtriya Komi Ekta Party,1,0,0,0,"1,254",0%,0.10%,0,0,0
396,National Organisation Congress,2,0,0,0,"1,202",0%,0.10%,0,0,0
397,"Rashtrawadi Parivartan Party (L.B,)",1,0,0,0,"1,195",0%,0.10%,0,0,0
398,All India Mazdoor Party (Rangreta),1,0,0,0,"1,182",0%,0.10%,0,0,0
399,National Youth Party,2,0,0,0,"1,176",0%,0.10%,0,0,0
400,Bahujan Kranti Party (Marxwad-Ambedkarwad),1,0,0,0,"1,174",0%,0.10%,0,0,0
401,Bhartiya Vikas Party,1,0,0,0,"1,152",0%,0.10%,0,0,0
402,Rashtriya Janmorcha,2,0,0,0,"1,145",0%,0.10%,0,0,0
403,Bhartiya Janta Dal (Integrated),3,0,0,0,"1,118",0%,0%,0,0,0
404,Rashtriya Garib Dal,1,0,0,0,"1,111",0%,0.10%,0,0,0
405,Indian Justice Party,1,0,0,0,"1,103",0%,0.10%,0,0,0
406,Bharatiya Samaj Dal,1,0,0,0,"1,096",0%,0.10%,0,0,0
407,Voters Party,1,0,0,0,"1,089",0%,0.10%,0,0,0
408,Akhil Bharatiya Manavata Paksha,1,0,0,0,"1,077",0%,0.10%,0,0,0
409,The Religion Of Man Revolving Political Party Of India,1,0,0,0,"1,071",0%,0.10%,0,0,0
410,Indian Bahujan Samajwadi Party,1,0,0,0,"1,059",0%,0.10%,0,0,0
411,Rashtriya Shoshit Samaj Party,1,0,0,0,"1,054",0%,0.10%,0,0,0
412,Akhil Bhartiya Aamjan Party,1,0,0,0,"1,040",0%,0.10%,0,0,0
413,Manavadhikar Janshakti Party,1,0,0,0,997,0%,0.10%,0,0,0
414,Himachal Swabhiman Party,1,0,0,0,997,0%,0.10%,0,0,0
415,Majlis Markaz-E-Siyasee Party,1,0,0,0,959,0%,0.10%,0,0,0
416,Dalit Vikas Party(Bharat),1,0,0,0,950,0%,0.10%,0,0,0
417,Shivrajya Party,1,0,0,0,944,0%,0.10%,0,0,0
418,Janral Samaj Party,1,0,0,0,944,0%,0.10%,0,0,0
419,Union Party Of India,1,0,0,0,944,0%,0.10%,0,0,0
420,Aazadi Ka Antim Aandolan Dal,1,0,0,0,937,0%,0.10%,0,0,0
421,Rashtriya Morcha Party,1,0,0,0,927,0%,0.10%,0,0,0
422,Bhartiya Shramik Dal Socialist,1,0,0,0,924,0%,0.10%,0,0,0
423,Republican Party Of India Ektavadi,1,0,0,0,910,0%,0.10%,0,0,0
424,Hindustan Swaraj Congress Party,1,0,0,0,888,0%,0.10%,0,0,0
425,Bharatiya Mool Niwasi Samaj Party,1,0,0,0,877,0%,0.10%,0,0,0
426,Democratic Congress Party,1,0,0,0,833,0%,0.10%,0,0,0
427,Bhartiya Chaitanya Party,1,0,0,0,802,0%,0.10%,0,0,0
428,National Party,1,0,0,0,791,0%,0.10%,0,0,0
429,Goa Su-Raj Party,1,0,0,0,783,0%,0.20%,0,0,0
430,Samta Vikas Party,1,0,0,0,763,0%,0.10%,0,0,0
431,Kannada Chalevali Vatal Paksha,1,0,0,0,707,0%,0.10%,0,0,0
432,Prajatantra Aadhar Party,1,0,0,0,698,0%,0.10%,0,0,0
433,Akhil Bharatiya Hind Kranti Party,1,0,0,0,685,0%,0.10%,0,0,0
434,Akhil Bhartiya Rajarya Sabha,1,0,0,0,683,0%,0.10%,0,0,0
435,Social Action Party,1,0,0,0,682,0%,0.10%,0,0,0
436,Rashtriya Sawarn Dal,1,0,0,0,665,0%,0.10%,0,0,0
437,Akhand Bharat Samaj Party,1,0,0,0,651,0%,0%,0,0,0
438,Indian Oceanic Party,1,0,0,0,649,0%,0.10%,0,0,0
439,Rashtriya Ekta Party,1,0,0,0,601,0%,0%,0,0,0
440,B.C.Bharata Desam Party,1,0,0,0,597,0%,0%,0,0,0
441,Hindustan Ekta Party,1,0,0,0,566,0%,0.10%,0,0,0
442,Adarsh Samaj Party,1,0,0,0,557,0%,0.10%,0,0,0
443,Indian Gandhiyan Party,1,0,0,0,546,0%,0.10%,0,0,0
444,All India Ravidas Samata Party,1,0,0,0,543,0%,0%,0,0,0
445,Uttar Pradesh Republican Party,1,0,0,0,542,0%,0.10%,0,0,0
446,Goemcarancho Otrec Astro,1,0,0,0,530,0%,0.10%,0,0,0
447,Bharatiya Nav Kranti Party,1,0,0,0,502,0%,0%,0,0,0
448,Nava Bharat National Party,1,0,0,0,485,0%,0.10%,0,0,0
449,Thrinamool Tamil Nadu Congress,1,0,0,0,474,0%,0%,0,0,0
450,Navbharat Nirman Party,1,0,0,0,441,0%,0%,0,0,0
451,Parivartan Samaj Party,1,0,0,0,433,0%,0.10%,0,0,0
452,Rashtriya Janadhikar Party,1,0,0,0,415,0%,0%,0,0,0
453,Indians Victory Party,1,0,0,0,398,0%,0%,0,0,0
454,Sardar Vallabhbhai Patel Party,1,0,0,0,394,0%,0%,0,0,0
455,Ambedkar People's Movement,1,0,0,0,374,0%,0%,0,0,0
456,Majdoor Kisan Union Party,1,0,0,0,362,0%,0%,0,0,0
457,Jan Samanta Party,1,0,0,0,357,0%,0%,0,0,0
458,Vanchit Jamat Party,1,0,0,0,350,0%,0%,0,0,0
459,People's Party Of India(secular),1,0,0,0,331,0%,0%,0,0,0
460,Bhartiya Jan Manch,1,0,0,0,325,0%,0%,0,0,0
461,Akhil Bharatiya Ashok Sena,1,0,0,0,296,0%,0%,0,0,0
462,Vishva Shakti Party,1,0,0,0,263,0%,0%,0,0,0
463,Rashtriya Jatigat Aarakshan Virodhi Party,1,0,0,0,259,0%,0%,0,0,0
464,Rashtriya Jankranti Party,1,0,0,0,217,0%,0%,0,0,0
465,Bharat Vishal Party,1,0,0,0,161,0%,0%,0,0,0
