Interview_ID,Response,Respondent_Type,Respondent_Affiliation,Location,States_Mentioned,Variables_Referenced,Relationship_Type,Direction_of_Effect,Causal_Path,Channel,Outcome_Reference,Importance_Rating
R5,"[Do you think that the expectations, aspirations, and demands of people vary across different states in India?] Absolutely. These differences stem from social structure and geography. As altitude and demographics change, everything else changes with it. A person from Bihar prefers sattu (a type of roasted gram flour), so he will continue to eat sattu. A person from the Northeast eats beef because it is part of his regional diet. There used to be an old saying—perhaps you are from Bihar, so you might have heard it—that after every few kos (a traditional unit of distance), the taste of water changes, and after another few kos, the language changes too. This means that as you move from one region to another, the water you drink will have a different taste, and as you travel further, even the language spoken will change. Regional needs shape people’s lifestyles. If we go to the South, why would they need sweaters? They don’t experience the same kind of cold weather that people in Uttarakhand do. People in Uttarakhand need warm clothes, but they don’t need air conditioners. So, regional differences dictate people’s needs and expectations. It is the same everywhere. Even if you go to England or America, you will see that regional requirements always change based on geography, climate, and cultural factors.",Media,Neutral,India,Bihar;Northeast;South,SubnationalAutonomy,Descriptive,NA,Different regions -> different cultures and aspirations,NA,NA,2
R5,"You will notice a pattern—states with lower population densities tend to have fewer such issues. Now, I cannot pinpoint the exact reason for this, but in my opinion, wherever population is controlled, these problems are less prevalent. You can call this a philosophical or psychological explanation, but I feel that if someone from an upper caste refuses to let a Dalit sit at the same level, it comes from a fear—a fear that if the Dalit is allowed to sit as an equal today, tomorrow, they will rise above, and those who once held dominance will lose their status. In highly populated states, this fear manifests more aggressively, leading to widespread discrimination. However, in states with smaller populations, you will rarely see such blatant caste conflicts. What you may see instead are class conflicts, and even those are often politically engineered. Look at what happened in Manipur. It is a beautiful state with wonderful people, and you wouldn’t even be able to tell which community someone belongs to just by looking at them. But what happened? Politicians interfered for their own political gains. They created a rift between the Meitei and the Kuki communities. And what triggered it? A High Court order that suggested granting Scheduled Tribe (ST) status to the Meitei community. Politicians took advantage of this, inciting the Kuki community by saying, ""If Meiteis get ST status, your rights will be taken away."" Eventually, the High Court even removed that paragraph from its order, but by then, the damage was done. If a class conflict arose in Manipur, it was not a natural occurrence; it was politically instigated for electoral benefits. Why? Because the Meitei community makes up about 60% of the population, while the Kuki community is around 40-45%. By fueling resentment among the Kukis, politicians ensured that the larger 55-60% vote share would consolidate in their favor. This kind of vote-bank politics is what led to the unrest, even though such things were never a part of Northeast politics before. So, I strongly believe that wherever the population is high and resources are scarce, these conflicts intensify. The more densely populated a state is, the more likely you are to see divisions based on caste, religion, and economic class.",Media,Neutral,India,Northeast,Population,Causal,Both,Large population -> resource scarcity -> more conflicts and divisions -> subnational backsliding; Small population -> more resources -> less conflicts and divisions -> subnational stability,Economic,NA,3
R5,"See, this is a very big factor. Even today, we say, ""A small family is a happy family."" When the population is high, and we have to distribute resources, let’s assume we have ₹1,00,000 or ₹5,00,000, and we have to distribute it among 20 people, then everyone will get ₹25,000. But if we have ₹5,00,000 and the number of people increases, then the share per person decreases. So, when there is scarcity, people want more, and they will look for ways to suppress the weakest and take away their share. This directly leads to class conflict. It is a simple aspect of human psychology—""I want more, I want what I need, no matter where it comes from."" Wherever the population is higher, there is a scarcity of resources, and where there is scarcity, there is conflict. Where there is conflict, there is oppression and every kind of injustice. So, population is a major reason, and there is nothing we can do about it.",Media,Neutral,India,NA,Population,Causal,Both,Large population -> resource scarcity -> more conflicts and divisions -> subnational backsliding; Small population -> more resources -> less conflicts and divisions -> subnational stability,Economic,NA,3
R5,"Look, the biggest thing about our federalism is that it is not centralized. Meaning, power is not concentrated in a single place or in the hands of a single entity. Instead, it is distributed across different levels—starting from the panchayat level, then to the state level, and finally to the central level. It was designed in such a way that no single person could ever become a dictator, that no single authority could have complete control. Do you understand what I am saying? It was created in such a way that power would be delegated across different levels. There is a term for it—delegation of power, I believe. Power has been divided across multiple levels, and that is a fantastic feature of our system. Now, I don’t have extensive knowledge of the United States of America, but from what I do know, the delegation of power in India is structured similarly to how power is delegated in developed countries like the U.S. and others. There, too, power is distributed across different levels, with clear responsibilities: if you are at this level, you have these powers; if you are at that level, you have those powers.",Media,Neutral,India,NA,SubnationalAutonomy,Causal,IncreasesDemocracy,Federal provisions for self governance -> protections against central encroachments -> subnational stability,Federal,NA,4
R6,"[The tribal composition in Jharkhand] is helping a lot [in the safeguarding of democracy]. That’s why I am telling you that the beauty of tribal culture is that even at the village level, decisions are taken collectively, not individually. There is an ""akhra,"" a gathering place where people come together to dance and play music during festivals with drums and traditional instruments. Everything is done as a group, not individually. Even in villages today, their culture is not individualistic but collectivist. They follow a collectivist culture, meaning they give more importance to the group rather than just the individual. Whenever a decision is made in the village, they make it together and travel together. They prioritize each other more. But in metro cities, people are more selfish; they think only about themselves and not about the group. Since tribal culture is collectivist, politics here is also relatively healthier. They want to move forward together rather than just thinking about themselves.",Government,JMM,Jharkhand,Jharkhand,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,"Ethnic composition -> collectivist culture -> healthier, plural, and mobilized politics -> subnational stability",Cultural;Mobilization,OutcomeStability,5
R6,"See, it’s not that Jharkhand is made up only of tribals. Because of the many industries and mines here, which supply coal, iron, and various other resources to the entire country, people from different regions have come and settled here. Since there are mining areas, people come to work in offices, run factories, and so on. Bengalis are present here in large numbers. Among Bengalis, communism has had a strong influence. There has historically been a higher presence of communists in Bengal, and that ideology has left a mark. There has been some change in Bengal recently, but communism remained dominant for a long time. There has been a significant influence of both tribals and Bengalis in Jharkhand. Communism promotes the idea that everyone is equal, that one should think about the collective rather than just oneself, and this ideology has played a role here. Many Bengali politicians have been active in Jharkhand. Their influence can be seen, for example, in the relationship between Shibu Soren and leaders like A.K. Roy. Many Bengali-speaking people have been part of the political landscape. I myself am Bengali. Even in my party, there are Bengalis. So, this combination of influences has shaped Jharkhand. The innocence and collectivist nature of tribal culture have merged with Bengali influences. My Guruji was associated with ""Samatal Pragya,"" which had a strong Bengali presence. In Jamshedpur, Bengali is widely spoken, and in Dhanbad, it is dominant. All of these cultural influences have blended together. When the Naxalite movement was strong in Bengal long ago, it also had an impact here, especially in the idea that no one should be too rich or too poor, that property rights should be equal for everyone. That movement also left its mark here. This is why leaders like Vinod Singh, whose father was involved in such struggles, continue to carry forward that legacy.",Government,JMM,Jharkhand,Jharkhand;West_Bengal,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Ethnic composition -> communist influences -> societal mobilization for liberal values -> subnational stability,Cultural;Mobilization,OutcomeStability,5
R6,"The two major parties at the center—Congress and BJP—would dominate everything in the country, and smaller parties would have no voice. Look at Maharashtra—no one can ignore Shiv Sena, whether it’s BJP or Congress. They have to include them. The survival of regional parties means that language and culture are preserved alongside them. When language is preserved, culture is also safeguarded. The primary struggle in Maharashtra, for example, is centered around language. They place great importance on their language and culture. The diversity of our country, its unity in diversity, and its cultural heritage need to be preserved. Because when a person abandons their language, their culture is lost, and they become disconnected from their roots.",Government,JMM,Jharkhand,Maharashtra,SubnationalAutonomy;PartyRule,Causal;Causal,IncreasesDemocracy,Desire for subnational autonomy -> rise of regional parties -> challenge the ruling party -> preservation of regional culture and aspirations -> subnational stability,Electoral;Cultural,NA,4
R6,"Now, take the example of the Biju Janata Dal (BJD). It contests state elections independently but supports BJP in central elections. The very existence of BJD ensures that Odisha’s local language and culture are preserved. Odisha has its own unique cultural heritage, its temples, its traditions. This is safeguarded because there is a distinction between the state and the center. Similarly, in Jharkhand, tribal culture is deeply ingrained. There are 32 tribes here, and those with a minority presence are still fighting to preserve their culture. If BJP were the only party in power here, why would they care about protecting tribal languages? They would naturally prioritize Gujarati, Hindi, or English. But for tribal communities, if their culture and language are not protected, why would they vote for anyone? People only vote for those who safeguard their culture, their forests, their traditions, their festivals. Look at Bengal—Mamata Didi is protecting Bengali culture. This year, UNESCO has declared Bengal’s Durga Puja as part of the world’s cultural heritage. Durga Puja is celebrated with great fervor in Bengal. But it is not just about the celebration itself—it is about preserving the traditional handicrafts, the bamboo art, the sarees, the jewelry, and the coconut fiber products used to build pandals. By keeping central and state elections separate, the country’s numerous small languages, religions, castes, cultural elements, cuisines, customs, attire, folk dances, and folk songs are all being preserved.",Government,JMM,Jharkhand,Odisha;Jharkhand;West_Bengal,SubnationalAutonomy;PartyRule,Causal;Causal,IncreasesDemocracy,Desire for subnational autonomy -> rise of regional parties -> challenge the ruling party -> preservation of regional culture and aspirations -> subnational stability,Electoral;Cultural;Federal,OutcomeStability,5
R6,"First, let me explain that when Bihar’s government existed before the separation, the tribal population of Jharkhand could not effectively put forward their issues. They remained politically sidelined and backward. But when Jharkhand became its own state, it was able to fight for its own rights. Now, they are working for themselves, building their own roads, focusing on employment. Our Chief Minister, Hemant Soren, has done so much work for them that the benefits of development and government schemes have reached the grassroots level across different fields.",Government,JMM,Jharkhand,Jharkhand,SubnationalAutonomy;PartyRule;EconomicDevelopment,Causal;Causal;Mediating,IncreasesDemocracy,Desire for subnational autonomy -> separation of states -> rise of regional parties -> responsive development -> subnational stability,Electoral;Federal,NA,4
R6,"People here do not bow down easily. If there is an attempt to suppress them, they resist and find alternative solutions. As I said, when 8 lakh houses for the poor were not provided despite repeated requests, the state government independently decided to fund and build them itself. That initiative was inaugurated today. Yesterday, there was a massive function for its launch, and today, the Chief Minister attended another meeting. But yesterday’s event was a major one celebrating the launch of the scheme.",Government,JMM,Jharkhand,Jharkhand,FiscalDependence;SubnationalAutonomy;EconomicDevelopment,Mediating;Causal;Mediating,IncreasesDemocracy,Withheld central funds -> autonomy to initiate own development -> subnational stability,Economic,NA,4
R7,"What I am trying to say is that when ordinary people engage with the Panchayat system, they receive direct education and training in governance. If the system is implemented correctly, it can serve as a platform for democratic learning. Historically, village leadership emerged from this structure, producing leaders who later took on state and national roles. Even today, many Sarpanches (village heads) go on to become MLAs, ministers, and even MPs. This is why Panchayati Raj was always viewed as a foundation for leadership development. Pandit Nehru himself stated in the early years that he believed the future Prime Ministers and ministers of the country would emerge from the Gram Panchayat system. The assumption was that the village level would act as the training ground for democratic leadership, producing capable leaders who could serve at higher levels of government. The idea was that the true citizen of the country—the real owner of this democracy—would engage with it firsthand at the village level. While elsewhere, democracy functions through representatives, in the villages, the people themselves would directly operate the system of governance.",Civil,Neutral,India,NA,SubnationalAutonomy,Causal,IncreasesDemocracy,Local elections -> grounds for political training -> springboard for higher elections -> more capable of challenging centre -> subnational stability,Electoral,NA,4
R7,"At the grassroots level, the masses will also rise to resist only when their existence is threatened. This could be related to cultural identity, local identity, or any other personal stake. Today, for example, discussions center on the existence of Hindus and Muslims—most conflicts and struggles emerge from concerns over identity. When political parties face a crisis of identity, especially those in opposition, they naturally resist as much as they can. This creates an impasse, preventing any easy or rapid transformation of the system. Political parties will obstruct any such changes as much as they can. History has shown that whenever major crises have arisen, movements have emerged in response. After the Emergency, for example, a massive awakening occurred across the country. Movements arose, and a natural cycle of political transformation took place.",Civil,Neutral,India,NA,SubnationalAutonomy;PartyRule;Mobilization,Causal;Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> mobilize against centre -> subnational stability;Opposition rule -> democratic threats from the centre -> risk to the survival of the opposition -> mobilization of opposing forces -> subnational stability,Mobilization,NA,4
R7,"In reality, the existence of all entities lies within democracy itself. If we look at it closely, everyone’s existence is sustained through democracy, and any crisis in democracy is a crisis for everyone’s existence. Broadly speaking, democracy grants you the right to make decisions within your own sphere. That is its fundamental essence. It guarantees social, economic, and political justice, provides freedom of worship, freedom of residence, opportunities, and dignity. This is what democracy is. In the Indian Constitution, it is expressed in the form of justice, liberty, and equality. But this is not just a concept of the Indian Constitution; it is deeply embedded in Indian culture. The very foundation of Indian culture is coexistence. Coexistence means that people can live together in harmony. This idea of coexistence is what defines Indian culture, and our culture is deeply rooted in this principle. The very essence of Indian culture is found in the village, which is why it is said that the soul of India resides in its villages. Villages represent family and neighborhood, coexistence and mutual dependence. This interconnected existence is democracy itself. We keep emphasizing the significance of the village because it is here that people live together, care for each other, and seek solutions that benefit all equally. This is the essence of democracy. It is about having the right to make decisions within one’s own domain, and when that domain expands, decision-making becomes collective. Individual leadership and collective leadership both coexist within this framework. If one were to deeply research this and conduct an extensive study, scientifically, many profound insights would emerge. My point is simply that all these elements are deeply ingrained in democracy. Now, no matter how many comforts or material possessions you provide to a person, if you take away their right to make decisions about themselves, they will eventually react against it. You might say, ""We will provide everything for you, but you must live where we tell you and sit where we decide."" But no one will ever truly accept such an arrangement. This is where a person’s sense of existence—their aham (self-identity)—awakens. ""What will remain of my identity? Where will I stand?"" When these questions arise, a deep existential awareness emerges. And this awareness is not just limited to cities; it arises at the village level, within families, within castes, within geographical regions.",Civil,Neutral,India,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> mobilize against centre -> subnational stability,Mobilization,NA,3
R7,"Although India’s Constitution had both federal and centralized characteristics, power was ultimately concentrated at the top, allowing for both its use and misuse. Even today, strong states such as Bengal and several southern states push back against the central government. At times, they assert their autonomy and challenge central authority.",Civil,Neutral,India,West_Bengal;South,SubnationalAutonomy,Causal,IncreasesDemocracy,State values autonomy -> increased central pressures -> assertions of subnational autonomy  -> subnational stability,Federal,NA,4
R7,"Gandhi explained this beautifully—just as a small wave rises in the ocean, and as its power increases, it becomes a larger wave, in the same way, this existential awareness grows from small to large. If a crisis emerges at any level, the collective consciousness of existence will surface in response. This is a profound psychological process. And this very process is what can safeguard democracy. This is what will ultimately protect democracy.",Civil,Neutral,India,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> mobilize against centre -> subnational stability,Mobilization,NA,4
R7,"However, what we have seen in this country’s culture and traditions, and even from a general perspective, is that whenever people realize that their autonomy is being challenged, when their inner consciousness awakens, a movement begins. There are numerous examples of this. Whenever democracy has been threatened, people have reacted, and power has changed hands. They have given leadership a chance, and when they have found it unsatisfactory, they have replaced it again. This has happened multiple times. Not long ago, a movement arose, which I wouldn't necessarily call the Aam Aadmi Party, but rather the Anna Movement. Consider how, at one point, it seemed as if every individual had become a part of corruption, that even the common person had accepted corruption as a norm. However, when the anti-corruption movement began, every town square in the country was filled with people protesting against corruption. And this was not just performative—it was a fire within them. Yes, they were eventually deceived, and when they realized they had been misled, they fell into despair again. But those of us who have faith in people’s capacity for resistance believe that if another crisis arises, people will stand up once again and overcome it.",Civil,Neutral,India,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> mobilize against centre -> subnational stability,Mobilization,NA,5
R8,"[So, if I summarize your point along with what you previously stated, the differences we see between states—whether in respect toward religion or adherence to constitutional values—are primarily due to the political parties in power and their ideologies?] That is the fundamental reason. However, the social relations and the structure of society in each state also have an impact. Some states have a significant minority population, some states are dominated by OBCs, while in others, OBCs and Dalits are not as well-organized. These power dynamics within the social structure also play a role, but the primary factor remains political.",Civil,SFI,India,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Ethnic or minority composition -> ability to mobilize and seek protection against majoritarian centre -> subnational stability,Mobilization,NA,3
R8,"Let me give you an example. In Northern India, cow smuggling and beef consumption are major issues. If a person from the minority community is seen carrying beef, it could even cost them their life. This has happened in Noida, in Jharkhand—there have been multiple cases where vehicles have been stopped, people have been beaten, even killed over allegations of cow smuggling. The cow issue is highly sensitive here. But what about Goa? The BJP has a government there, and the people consume beef. Yet, in Goa, they remain completely silent on beef. They do not utter a single word against it. The Northeast is another example. There was a minister, still in the cabinet, who previously served as the Law Minister and was also in the Ministry of Home Affairs before that—Kiren Rijiju. He has openly said, not just once but multiple times, that he eats beef. He has publicly declared, ""I eat beef, who can stop me?"" Did the BJP expel him? No. And he was not a minor figure; he was influential. When he was in the Home Ministry, he held an important position, and later he became the Law Minister. He had significant influence in constitutional matters and Supreme Court cases, and he was a well-regarded leader within the BJP. But despite his open admission of eating beef, was he removed from the party? No, he was not. Take Tripura as another example. Previously, the government there was run by the Communist Party of India (CPI-M), which remained in power for four or five consecutive terms. But now, the BJP has taken over. The top BJP leaders who went there to campaign would sit and eat beef with the local people. I can even mention a name—one of their key figures, originally from Maharashtra, was given charge of Tripura. He used to sit among the tribal communities, eat with them. Many tribal Hindus are non-vegetarian. Even within the broader Hindu community, while people often say Hindus are vegetarians, the reality is that the majority are not. And in Tripura, their leaders would eat everything; there was no controversy over it. Another example is from Kerala, though I don’t recall the exact year. In Kerala, beef consumption is widespread, among Muslims, Christians, and Hindus as well. Hindus are still the majority there. There was a BJP candidate—either in a Lok Sabha or Assembly election—who put up banners saying that if he won, he would ensure the supply of high-quality beef. Was he expelled from the party for this? No. So, the BJP is an extremely flexible party. It adapts to different situations in different regions.",Civil,SFI,India,Uttar_Pradesh;Jharkhand;Goa;Northeast;Kerala,SubnationalAutonomy,Causal,IncreasesDemocracy,Different regions -> different cultures and aspirations -> ability to moderate ruling party to fit local cultures -> subnational stability,Cultural,NA,4
R8,"These struggles are happening, and they will continue. Remember this: in my view, democratic rule, secular democratic principles, are ultimately the only way to unite and sustain a country. A new federal structure is needed. If a majoritarian government comes to power at the center, if majoritarianism dominates the entire system, it is not sustainable for a diverse society. Communities will resist, their representatives and leaders will fight back. There will be both collective and individual struggles. This has always happened. I am not at all hopeless about the future. In fact, I am very optimistic. These tendencies can be defeated. People are already fighting against them.",Civil,SFI,India,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> mobilize against centre -> subnational stability,Mobilization,OutcomeStability,5
R8,"In marginal states, in states on the periphery, politics operates somewhat differently. This needs to be understood. Take the Northeast, for example. Many states in the Northeast are tribal belts, and among these tribes, Christianity is a dominant force. The ongoing conflict in Manipur between the Nagas and Kukis—or rather, between the Kukis and Meiteis—has a strong religious dimension, as many in these groups are Christian. Another factor is that these states are located on the margins, and their geopolitical situation plays a major role. Myanmar is right next door, and so is Bangladesh, meaning porous borders. The influence of neighboring states impacts their internal relations. Many people in Manipur, for instance, have relatives in Myanmar, they have tribal affiliations and social connections across the border. Ecologically, too, they are a different kind of people.",Civil,SFI,India,Northeast,SubnationalAutonomy,Descriptive,NA,Different regions -> different cultures and aspirations,NA,NA,2
R9,"Federalism is already well-established in India. Certain sectors are federal, while others remain under central control. For instance, the army and space centers are under the central government, as these are national security concerns. Agriculture, on the other hand, is a federal sector. These divisions ensure a balance. States, districts, and panchayats each have their rights and responsibilities. Federalism enables localized governance within a broader democratic framework… The relationship [between federalism and democracy] lies in empowering every unit of governance. Funds flow from the district to the panchayat, but the panchayat decides how to use those funds based on local needs—whether to build roads, dig wells, or install hand pumps. This autonomy at the grassroots level exemplifies democracy. The district doesn’t dictate terms to the panchayat; instead, the panchayat decides its priorities and receives funding accordingly.",Party,BJP,India,NA,SubnationalAutonomy;EconomicDevelopment,Causal;Mediating,IncreasesDemocracy,Federal provisions for funds to local governments -> autonomy to initiate own development -> subnational stability,Economic,NA,3
R10,"That [the subnational level] is the place where hope is. The reason why I am saying this is that the more you go local, the more you go to the lower level of democracy, the...bigger narrative is not there. The matters of national policy and foreign policy and economic policies, these don’t matter for elections held in the villages where the local government runs. So, there is scope. If the change starts from there, people start getting concerned, then there will be a day when this change will travel to the top. Local bodies are aligned with the state government. They can work with them. They have no link with the central government.",Government,AAP,Delhi,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,Local elections -> local bodies insulated from central government -> central narratives not influential -> people mobilize over local issues -> subnational stability,Mobilization,OutcomeStability,4
R10,"The best way is the more you are granular in terms of the democratic unit, the better you are. The more you decentralize the power, the better kind of democracy you might be able to enjoy…Because of participation. People's and opposition's participation. Participation is the key to decentralization, isn't it? Whether you are making foreign policies or doing arms deals, the people of the state do not care about it. But if you are addressing their local issues, whether there is a hand pipe or a well or a pond in their street, it has an impact on their life. It is direct.",Government,AAP,Delhi,NA,SubnationalAutonomy;Mobilization,Causal;Mediating,IncreasesDemocracy,More decentralization -> mobilization over local issues -> more direct benefits -> subnational stability,Mobilization,NA,3
R11,"Naturally, because there are regional varieties or variation of democracy and currently there are a number of factors which influenced Indian democracy, especially after the 90s. Popularly they coin it under these three terms: Mandal, Mandir, and Market. I personally think that Indian capitalism is driving the Indian state towards this unitary, centralizing power. And reducing the federal nature because Indian capitalism is finding it difficult to deal with the diverse forces of different states. It says that it’s in their interest that they want only one force with whom they can directly deal with, bargain, and manage affairs. When there was a coalition government, it was very difficult—the reform process was slow, decision-making was deliberate, there were a number of players who were demanding their own shares. So, I think that Indian capitalism is playing an important role because they want a national market, a unitary market. That’s why you see these slogans: one nation, one election. One nation, one tax. One nation, one market. Popular slogans.",Media,Neutral,India,NA,SubnationalAutonomy;CoalitionPolitics,Causal;Mediating,Both,Different regions -> different cultures and aspirations -> more likely to desire share of the national pie -> coalition over majoritarianism -> more deliberate and plural decision making -> subnational stability,Electoral,NA,3
R11,"Like look, in the 90s and just before 2014, because of the federal nature of politics, there were a lot of industrialists or capital or prominent industrial houses/groups/corporate houses, which were emerging from regional centers. Like in aviation, GMR was very powerful. Or in Telecom, number of players were not at the national level, there were many regional players. In Telecom, in airlines, in media, in number of businesses, cement or infrastructure or electricity. But now, in the last decade, things are moving in the direction of this centralizing force through mergers and acquisitions, with only few big, corporate houses. Who are, in their nature, all-India. They are not just limited to either Tamil Nadu or Andhra Pradesh or based in those states and from there expanding. During the 1980s till the last decade, they were coming from these states and expanding nationally. They were, like, the regional political party sharing power with the government in Delhi. Similarly, a number of corporates were coming from these states and trying to expand themselves. Now, this trend has reversed. Like the political party at the centre accepting to share power with the regional party. Take the case of Adani, where Mumbai Airport was run by one South Indian company before, which were forced to sell it to the Adanis. Similarly in cement business, in electricity, in power, in coal, or in telecommunications, just see what is happening. Telecommunications is now completely monopolized by Ambani. Of course, Airtel is there, and Vodafone is there. But Vodafone is almost dying. Airtel is trying to compete, but initially the leader of the market is now number two in comparison to Jio. So, they [all-India industrialist] are supporting this unitary nature of Indian state, where the power should be centralized. And it is with some close big corporate groups, who are now controlling everything...This is what we are actually witnessing in a number of other countries as well. It’s not unique to India. You can see in recent, last fifteen-twenty, this is what is happening in Philippines, in Turkey, in Hungary, in a number of other European countries. Where the State is captured by a strongman leader, and under strongman leader, capitalism is flourishing. Some of the toughest...of course, Modi withdrew these three farm laws, but the truth is that he tried to bring this. Labour reforms, agricultural reforms, these are the toughest reforms. But Modi is trying to bring this reform and of course on the demand of big capital in India.",Media,Neutral,India,Tamil_Nadu;Andhra_Pradesh,SubnationalAutonomy;FiscalDependence,Causal;Mediating,IncreasesDemocracy,Different regions -> different sources of regional capital -> increased leverage in power sharing with the centre -> subnational stability,Federal;Economic,NA,4
R11,"Ultimately, it will be up to the political parties, the political institutions, and largely the voters. The kind of awareness, social and political organization, issue-based organization, student and labour movements, farmers associations. They will all play an important role in ensuring the independence of judiciary or the critical media or civil and political rights, and overall, the rule of law and constitutional democracy. So, if the opposition is powerful, they are fighting a good cause, or at least giving a good competition to the BJP, I think that will make democracy survive. Everyone has to play a role in it.",Media,Neutral,India,NA,Mobilization;OppositionStrength,Causal;Mediating,IncreasesDemocracy,Democratic threats from the centre -> mobilization against it -> facilitated by strong opposition -> subnational stability,Mobilization,OutcomeStability,4
R11,"Now, because big corporates from Delhi and Mumbai have national aspirations and national markets, they’re crushing the smaller players. And the general nature of capitalism is that big fish always finishes the smaller ones. This is what we are witnessing. National parties are trying to overtake the smaller, regional parties in Indian state. These local parties have been important for state capital but also for state democracy. They may say that this is a natural phenomenon in capitalism.",Media,Neutral,India,Delhi;Mumbai,SubnationalAutonomy;FiscalDependence,Causal;Mediating,IncreasesDemocracy,Different regions -> different sources of regional capital -> increased leverage in power sharing with the centre -> subnational stability,Federal;Economic,NA,3
R11,"[You’ve talked about democratic politics in North and South India. What do you think about democratic politics in Northeast section of India?] I think democracy may be somewhat weak there because institutions are very weak. Civil society groups are also weak historically. And mainly it is driven or controlled by the centre. And still, they are unable to find their own voices. Of course, participation is very high and increasing, but in my opinion, it is unable to throw together a really independent political force. In recent elections, however, there is a new opening, especially in Mizoram where a new party has recently won the elections. If it continues to hold independent positions, there is a possibility for democratic politics to expand even more. Right now, I think it is somewhat controlled or commanded by the national party or the national government.",Media,Neutral,India,Northeast,SubnationalAutonomy;Mobilization,Causal;Mediating,Both,Lack of independent regional forces -> combined with weak civil society -> more susceptible to central control -> subnational backsliding; more independent regional forces -> increasing participation and mobilization -> more leverage against the centre -> subnational stability,Mobilization,NA,4
R11,"There may be a number of reasons [for the weak institutions in the Northeast]. Particularly, I think the long history of political and social conflict. Secondly, you know, because those conflicts were armed conflicts, so they were outside the purview of democratic politics. They were not using democratic means to assert their regional aspirations. They were using armed struggle, either you go to Nagaland or Manipur or Tripura or Mizoram. Or even in Assam. Whatever the possibility was there, like in Assam there was a possibility with a regional force like AGP, the student movement. There was a possibility there that they will assert independently, but because I think again, it’s a very interesting puzzle or relationship. Because in Northeast, the local capitalism has not developed or it’s underdeveloped. So, the regional aspirations, wherever you find the local capital develops and it tries to find a space and a share in the regional pie, then it gets reflected in politics as well. But because regional or local capitalism is very weak, so they’re unable to push in politics and assert themselves. These are the few reasons why I think institutions are weak and the party that is ruling the centre is still able to MANAGE the politics in Northeast.",Media,Neutral,India,Northeast,SubnationalAutonomy;FiscalDependence,Causal;Mediating,Both,Different regions -> different sources of regional capital -> increased leverage in power sharing with the centre -> subnational stability; some regional contexts have more political conflicts -> less democratic means of asserting regional aspirations -> subnational backsliding,Federal;Economic,NA,4
R11,"The first thing is...it is not a new debate, this federal versus unitary government. It’s an old debate. But I personally think that as a nation or as a country, the kind of diversity—social, cultural, ethnic, linguistic diversity—I think only federal politics can accommodate and satisfy the aspiration of the states or the different social groups in them. And also, their URGE for power sharing. So, the only way to satisfy or accommodate these regional aspiration or the ethnic-linguistic aspiration can be expressed through federal politics.",Media,Neutral,India,NA,SubnationalAutonomy,Descriptive,IncreasesDemocracy,Different regions -> different cultures and aspirations -> federal provisions for self governance,Federal,NA,3
R11,"But if you are changing the nature, which means there will be clear conflict with these regional, linguistic, cultural diversity, it will certainly shrink Indian democracy. It will go against the diverse nature of the country. And it will certainly create tensions within Indian “states”, which we are witnessing the initial signs of through the North-South divide or the issue of delimitation, which is also a very sensitive issue these days. I personally think that only federal politics, or which expresses itself in coalition politics, is the most suitable to this diverse nature of the country.",Media,Neutral,India,South,SubnationalAutonomy;CoalitionPolitics,Causal;Mediating,IncreasesDemocracy,Different regions -> different cultures and aspirations -> democratic threats from the centre -> risk to the survival of regional cultures and aspirations -> coalitions against centre -> subnational stability,Federal,NA,2
